zone_level,support_touches,resistance_touches,total_touches,strength
147.112,1226,1074,2300,1074
147.108,1221,1074,2295,1074
147.096,1219,1073,2292,1073
147.092,1217,1073,2290,1073
147.091,1216,1073,2289,1073
148.277,1073,1108,2181,1073
147.087,1219,1072,2291,1072
147.089,1218,1072,2290,1072
147.094,1215,1072,2287,1072
148.272,1072,1109,2181,1072
148.281,1072,1106,2178,1072
148.274,1071,1109,2180,1071
148.273,1071,1108,2179,1071
147.084,1222,1070,2292,1070
147.081,1220,1068,2288,1068
147.08,1219,1067,2286,1067
148.285,1066,1104,2170,1066
148.287,1065,1103,2168,1065
147.068,1213,1063,2276,1063
147.067,1209,1063,2272,1063
148.302,1062,1105,2167,1062
148.304,1061,1105,2166,1061
147.065,1208,1060,2268,1060
148.299,1060,1106,2166,1060
148.305,1060,1106,2166,1060
148.307,1060,1101,2161,1060
148.309,1058,1100,2158,1058
148.318,1056,1097,2153,1056
147.056,1207,1055,2262,1055
147.052,1204,1053,2257,1053
147.053,1203,1053,2256,1053
147.05,1204,1051,2255,1051
147.048,1204,1051,2255,1051
147.045,1205,1050,2255,1050
148.355,1050,1096,2146,1050
148.333,1050,1090,2140,1050
148.33,1049,1091,2140,1049
148.354,1048,1096,2144,1048
148.326,1048,1092,2140,1048
148.35,1048,1091,2139,1048
148.358,1047,1101,2148,1047
148.345,1047,1091,2138,1047
147.042,1207,1046,2253,1046
148.361,1045,1099,2144,1045
148.373,1041,1092,2133,1041
148.368,1041,1091,2132,1041
148.376,1040,1090,2130,1040
147.038,1207,1037,2244,1037
148.381,1037,1086,2123,1037
148.38,1037,1085,2122,1037
147.034,1208,1034,2242,1034
148.382,1034,1085,2119,1034
147.031,1206,1033,2239,1033
147.033,1206,1033,2239,1033
147.019,1197,1031,2228,1031
147.018,1196,1030,2226,1030
148.386,1030,1083,2113,1030
147.03,1207,1029,2236,1029
148.401,1029,1082,2111,1029
148.39,1028,1080,2108,1028
147.028,1206,1027,2233,1027
147.016,1194,1027,2221,1027
148.392,1027,1080,2107,1027
148.402,1025,1082,2107,1025
148.398,1025,1082,2107,1025
148.396,1025,1081,2106,1025
147.006,1189,1022,2211,1022
147.001,1187,1020,2207,1020
148.422,1019,1077,2096,1019
148.427,1019,1076,2095,1019
147.003,1188,1018,2206,1018
148.414,1018,1079,2097,1018
148.418,1018,1077,2095,1018
148.416,1018,1076,2094,1018
148.411,1016,1080,2096,1016
148.41,1016,1080,2096,1016
148.408,1016,1080,2096,1016
148.429,1015,1075,2090,1015
146.992,1178,1014,2192,1014
146.976,1165,1014,2179,1014
149.288,1035,1014,2049,1014
149.287,1035,1014,2049,1014
146.986,1174,1013,2187,1013
146.974,1159,1013,2172,1013
149.263,1045,1013,2058,1013
146.985,1173,1012,2185,1012
146.975,1162,1012,2174,1012
149.27,1039,1012,2051,1012
149.268,1038,1012,2050,1012
146.984,1173,1011,2184,1011
146.983,1170,1011,2181,1011
149.269,1039,1011,2050,1011
149.299,1036,1011,2047,1011
149.282,1037,1010,2047,1010
149.274,1039,1009,2048,1009
149.28,1038,1009,2047,1009
146.958,1148,1007,2155,1007
146.968,1157,1006,2163,1006
148.449,1006,1072,2078,1006
149.244,1056,1006,2062,1006
149.306,1037,1006,2043,1006
146.964,1154,1005,2159,1005
148.438,1005,1075,2080,1005
149.355,1029,1005,2034,1005
149.354,1029,1005,2034,1005
149.36,1030,1004,2034,1004
149.358,1028,1004,2032,1004
149.363,1027,1004,2031,1004
148.439,1003,1075,2078,1003
148.44,1003,1074,2077,1003
149.24,1054,1003,2057,1003
149.35,1032,1003,2035,1003
149.365,1028,1003,2031,1003
149.367,1028,1002,2030,1002
146.944,1131,1001,2132,1001
149.231,1055,1001,2056,1001
149.317,1038,1001,2039,1001
149.314,1037,1001,2038,1001
149.324,1036,1001,2037,1001
149.323,1035,1001,2036,1001
149.37,1027,1001,2028,1001
146.948,1136,1000,2136,1000
149.339,1039,1000,2039,1000
149.327,1038,1000,2038,1000
149.32,1036,1000,2036,1000
149.322,1035,1000,2035,1000
149.378,1027,1000,2027,1000
149.377,1027,1000,2027,1000
148.453,999,1069,2068,999
149.827,1052,999,2051,999
149.328,1037,999,2036,999
149.33,1036,999,2035,999
149.396,1029,999,2028,999
149.393,1028,999,2027,999
149.411,1027,999,2026,999
149.381,1027,999,2026,999
149.818,1055,998,2053,998
149.819,1054,998,2052,998
149.821,1053,998,2051,998
149.337,1038,998,2036,998
149.331,1036,998,2034,998
149.394,1027,998,2025,998
149.391,1026,998,2024,998
149.5,1019,998,2017,998
149.822,1052,997,2049,997
149.386,1027,997,2024,997
149.501,1020,997,2017,997
149.479,1020,997,2017,997
149.478,1019,997,2016,997
146.936,1131,996,2127,996
149.83,1053,996,2049,996
149.397,1028,996,2024,996
149.801,1057,995,2052,995
149.224,1057,995,2052,995
149.436,1021,995,2016,995
149.482,1020,995,2015,995
148.457,994,1073,2067,994
149.218,1057,994,2051,994
149.8,1055,994,2049,994
149.808,1054,994,2048,994
149.812,1053,994,2047,994
149.481,1022,994,2016,994
149.477,1021,994,2015,994
149.483,1018,994,2012,994
149.491,1018,994,2012,994
149.458,1018,994,2012,994
149.805,1054,993,2047,993
149.441,1026,993,2019,993
149.459,1019,993,2012,993
149.456,1018,993,2011,993
149.484,1018,993,2011,993
149.47,1018,993,2011,993
149.457,1018,993,2011,993
149.472,1016,993,2009,993
149.214,1056,992,2048,992
149.213,1055,992,2047,992
149.837,1046,992,2038,992
149.884,1031,992,2023,992
149.516,1021,992,2013,992
149.455,1019,992,2011,992
149.464,1017,992,2009,992
149.463,1017,992,2009,992
149.486,1017,992,2009,992
146.932,1131,991,2122,991
149.838,1045,991,2036,991
149.882,1032,991,2023,991
149.454,1019,991,2010,991
149.45,1019,991,2010,991
149.843,1044,990,2034,990
149.876,1030,990,2020,990
149.466,1018,990,2008,990
149.451,1018,990,2008,990
149.79,1056,988,2044,988
149.207,1055,988,2043,988
149.208,1055,988,2043,988
149.898,1022,988,2010,988
149.9,1022,988,2010,988
146.929,1126,987,2113,987
148.472,987,1068,2055,987
148.469,987,1067,2054,987
149.205,1056,987,2043,987
149.846,1040,987,2027,987
149.871,1031,987,2018,987
149.91,1021,987,2008,987
149.909,1020,987,2007,987
149.921,1014,987,2001,987
149.845,1042,986,2028,986
149.523,1022,986,2008,986
149.922,1014,986,2000,986
149.905,1022,984,2006,984
149.531,1021,984,2005,984
149.851,1039,983,2022,983
149.85,1039,983,2022,983
149.853,1038,983,2021,983
149.866,1032,983,2015,983
146.898,1089,982,2071,982
149.862,1035,982,2017,982
149.534,1024,982,2006,982
149.532,1021,982,2003,982
149.925,1013,982,1995,982
146.914,1103,981,2084,981
148.487,981,1061,2042,981
149.865,1033,981,2014,981
149.535,1024,981,2005,981
146.893,1087,980,2067,980
148.478,980,1065,2045,980
149.199,1050,980,2030,980
149.934,1013,980,1993,980
149.936,1012,980,1992,980
149.945,1007,980,1987,980
146.908,1099,979,2078,979
149.188,1052,979,2031,979
149.539,1027,979,2006,979
149.932,1015,979,1994,979
149.929,1014,979,1993,979
146.91,1101,978,2079,978
149.77,1060,978,2038,978
149.754,1056,978,2034,978
149.186,1052,978,2030,978
149.196,1050,978,2028,978
148.481,977,1068,2045,977
149.766,1063,977,2040,977
149.185,1052,977,2029,977
149.184,1052,977,2029,977
149.194,1052,977,2029,977
149.181,1051,977,2028,977
149.17,1048,977,2025,977
149.151,1035,977,2012,977
146.889,1086,976,2062,976
149.768,1059,976,2035,976
149.166,1045,976,2021,976
149.15,1036,976,2012,976
149.955,1006,976,1982,976
149.708,1066,975,2041,975
149.764,1062,975,2037,975
149.195,1050,975,2025,975
149.165,1045,975,2020,975
148.517,975,1044,2019,975
149.951,1007,975,1982,975
149.711,1063,974,2037,974
149.758,1058,974,2032,974
149.163,1044,974,2018,974
148.518,974,1043,2017,974
148.52,974,1038,2012,974
