Open,High,Low,Close,Volume ,DATE,Time,is_swing_low,is_swing_high,datetime,ts,support,resistance
149.723,150.139,149.64,149.732,26245.87,2025-02-27,16:00:00,false,false,2025-02-27T16:00:00.000000,1740672000000,148.439,
149.731,150.097,149.537,149.94,43237.98,2025-02-27,17:00:00,false,false,2025-02-27T17:00:00.000000,1740675600000,148.439,
149.94,150.161,149.763,149.809,28412.05,2025-02-27,18:00:00,false,true,2025-02-27T18:00:00.000000,1740679200000,148.439,
149.962,150.013,149.779,149.791,15605.55,2025-02-27,19:00:00,false,false,2025-02-27T19:00:00.000000,1740682800000,148.439,
149.964,150.152,149.914,150.11,11699.55,2025-02-27,20:00:00,false,true,2025-02-27T20:00:00.000000,1740686400000,148.439,
150.111,150.12,149.783,149.861,17304.4,2025-02-27,21:00:00,false,false,2025-02-27T21:00:00.000000,1740690000000,148.439,
149.861,149.861,149.628,149.694,16110.0,2025-02-27,22:00:00,false,false,2025-02-27T22:00:00.000000,1740693600000,148.439,
149.793,149.822,149.674,149.713,6998.77,2025-02-27,23:00:00,false,false,2025-02-27T23:00:00.000000,1740697200000,148.439,
149.759,149.807,149.658,149.788,787.26,2025-02-28,00:00:00,false,false,2025-02-28T00:00:00.000000,1740700800000,148.439,
150.054,150.103,149.538,149.756,8524.95,2025-02-28,01:00:00,false,false,2025-02-28T01:00:00.000000,1740704400000,148.439,
150.086,150.142,149.352,149.364,18319.39,2025-02-28,02:00:00,false,false,2025-02-28T02:00:00.000000,1740708000000,148.439,
149.372,149.527,149.271,149.297,16537.14,2025-02-28,03:00:00,false,false,2025-02-28T03:00:00.000000,1740711600000,148.439,
149.296,149.564,149.098,149.527,14026.62,2025-02-28,04:00:00,true,false,2025-02-28T04:00:00.000000,1740715200000,148.439,
149.527,149.625,149.457,149.601,8518.51,2025-02-28,05:00:00,true,false,2025-02-28T05:00:00.000000,1740718800000,148.439,
149.601,149.696,149.516,149.607,8814.58,2025-02-28,06:00:00,true,false,2025-02-28T06:00:00.000000,1740722400000,148.439,
149.606,149.882,149.578,149.829,11033.59,2025-02-28,07:00:00,false,false,2025-02-28T07:00:00.000000,1740726000000,148.439,
149.829,150.115,149.786,150.041,10369.08,2025-02-28,08:00:00,false,false,2025-02-28T08:00:00.000000,1740729600000,148.439,
150.041,150.567,149.933,150.432,19776.14,2025-02-28,09:00:00,false,false,2025-02-28T09:00:00.000000,1740733200000,148.439,
150.432,150.686,150.311,150.564,18493.96,2025-02-28,10:00:00,false,false,2025-02-28T10:00:00.000000,1740736800000,,
150.569,150.633,150.184,150.248,16916.52,2025-02-28,11:00:00,false,false,2025-02-28T11:00:00.000000,1740740400000,,
150.37,150.395,150.239,150.28,8141.36,2025-02-28,12:00:00,false,false,2025-02-28T12:00:00.000000,1740744000000,,
150.387,150.485,150.286,150.397,5543.02,2025-02-28,13:00:00,false,false,2025-02-28T13:00:00.000000,1740747600000,,
150.387,150.714,150.38,150.659,8874.45,2025-02-28,14:00:00,false,false,2025-02-28T14:00:00.000000,1740751200000,,
150.659,150.987,150.595,150.651,23851.44,2025-02-28,15:00:00,false,true,2025-02-28T15:00:00.000000,1740754800000,,
150.648,150.811,150.28,150.686,29932.71,2025-02-28,16:00:00,false,false,2025-02-28T16:00:00.000000,1740758400000,,
150.683,150.861,150.505,150.679,35762.2,2025-02-28,17:00:00,false,true,2025-02-28T17:00:00.000000,1740762000000,,
150.683,150.79,150.233,150.639,30747.04,2025-02-28,18:00:00,false,true,2025-02-28T18:00:00.000000,1740765600000,,
150.639,150.682,150.332,150.363,20665.33,2025-02-28,19:00:00,false,false,2025-02-28T19:00:00.000000,1740769200000,,
150.363,150.543,150.239,150.326,27297.62,2025-02-28,20:00:00,false,false,2025-02-28T20:00:00.000000,1740772800000,,
150.326,150.6,150.303,150.54,16315.37,2025-02-28,21:00:00,false,false,2025-02-28T21:00:00.000000,1740776400000,,
150.543,150.622,150.439,150.507,11257.33,2025-02-28,22:00:00,false,false,2025-02-28T22:00:00.000000,1740780000000,,
150.507,150.618,150.482,150.545,5091.31,2025-02-28,23:00:00,false,false,2025-02-28T23:00:00.000000,1740783600000,,
150.644,150.722,150.632,150.699,626.25,2025-03-03,00:00:00,false,false,2025-03-03T00:00:00.000000,1740960000000,,
150.703,151.019,150.699,150.806,9499.98,2025-03-03,01:00:00,false,true,2025-03-03T01:00:00.000000,1740963600000,,
150.807,150.945,150.489,150.541,20448.32,2025-03-03,02:00:00,false,true,2025-03-03T02:00:00.000000,1740967200000,,
150.542,150.719,150.314,150.406,14863.03,2025-03-03,03:00:00,false,false,2025-03-03T03:00:00.000000,1740970800000,,
150.406,150.473,150.266,150.402,11306.24,2025-03-03,04:00:00,false,false,2025-03-03T04:00:00.000000,1740974400000,,
150.401,150.486,150.243,150.45,11236.69,2025-03-03,05:00:00,false,false,2025-03-03T05:00:00.000000,1740978000000,,
150.45,150.514,150.32,150.335,8923.81,2025-03-03,06:00:00,false,false,2025-03-03T06:00:00.000000,1740981600000,,
150.333,150.528,150.332,150.408,6983.93,2025-03-03,07:00:00,false,false,2025-03-03T07:00:00.000000,1740985200000,,
150.409,150.523,150.267,150.46,10093.96,2025-03-03,08:00:00,false,false,2025-03-03T08:00:00.000000,1740988800000,,
150.46,150.523,150.149,150.168,13483.63,2025-03-03,09:00:00,false,false,2025-03-03T09:00:00.000000,1740992400000,,
150.168,150.24,150.025,150.11,16219.11,2025-03-03,10:00:00,false,false,2025-03-03T10:00:00.000000,1740996000000,,
150.112,150.369,149.945,150.344,11195.48,2025-03-03,11:00:00,true,false,2025-03-03T11:00:00.000000,1740999600000,,
150.343,150.837,150.342,150.836,8924.3,2025-03-03,12:00:00,false,false,2025-03-03T12:00:00.000000,1741003200000,,
150.835,151.234,150.788,151.207,14155.23,2025-03-03,13:00:00,false,false,2025-03-03T13:00:00.000000,1741006800000,,
151.207,151.301,151.113,151.236,15747.01,2025-03-03,14:00:00,false,true,2025-03-03T14:00:00.000000,1741010400000,,
151.236,151.297,150.939,150.966,20153.57,2025-03-03,15:00:00,false,true,2025-03-03T15:00:00.000000,1741014000000,,
150.968,150.971,150.586,150.61,18736.13,2025-03-03,16:00:00,false,true,2025-03-03T16:00:00.000000,1741017600000,,
150.611,150.675,150.079,150.231,27469.43,2025-03-03,17:00:00,false,false,2025-03-03T17:00:00.000000,1741021200000,,
150.235,150.37,150.048,150.169,19580.58,2025-03-03,18:00:00,false,false,2025-03-03T18:00:00.000000,1741024800000,,
150.17,150.336,150.126,150.178,13132.93,2025-03-03,19:00:00,false,false,2025-03-03T19:00:00.000000,1741028400000,,
150.178,150.25,150.059,150.175,16692.41,2025-03-03,20:00:00,false,false,2025-03-03T20:00:00.000000,1741032000000,,
150.174,150.303,150.137,150.25,18355.12,2025-03-03,21:00:00,false,false,2025-03-03T21:00:00.000000,1741035600000,,
150.251,150.259,149.097,149.417,31279.19,2025-03-03,22:00:00,false,false,2025-03-03T22:00:00.000000,1741039200000,148.439,
149.417,149.625,149.416,149.494,8288.39,2025-03-03,23:00:00,false,false,2025-03-03T23:00:00.000000,1741042800000,148.439,
149.558,149.615,149.479,149.495,1416.88,2025-03-04,00:00:00,false,false,2025-03-04T00:00:00.000000,1741046400000,148.439,
149.563,149.623,149.143,149.306,8915.93,2025-03-04,01:00:00,false,false,2025-03-04T01:00:00.000000,1741050000000,148.439,
149.317,149.529,148.978,149.15,21082.4,2025-03-04,02:00:00,false,false,2025-03-04T02:00:00.000000,1741053600000,148.439,
149.15,149.257,148.595,148.932,24291.17,2025-03-04,03:00:00,true,false,2025-03-04T03:00:00.000000,1741057200000,148.439,147.945
148.932,149.419,148.837,149.294,16602.19,2025-03-04,04:00:00,true,false,2025-03-04T04:00:00.000000,1741060800000,148.439,147.945
149.299,149.344,149.029,149.161,15704.41,2025-03-04,05:00:00,false,false,2025-03-04T05:00:00.000000,1741064400000,148.439,147.945
149.162,149.174,148.925,149.14,12047.33,2025-03-04,06:00:00,false,false,2025-03-04T06:00:00.000000,1741068000000,148.439,147.945
149.141,149.461,149.091,149.381,17578.57,2025-03-04,07:00:00,false,false,2025-03-04T07:00:00.000000,1741071600000,148.439,
149.381,149.56,149.271,149.529,12556.69,2025-03-04,08:00:00,false,false,2025-03-04T08:00:00.000000,1741075200000,148.439,
149.529,149.574,149.06,149.345,26222.85,2025-03-04,09:00:00,false,false,2025-03-04T09:00:00.000000,1741078800000,148.439,
149.345,149.452,148.999,149.088,31984.78,2025-03-04,10:00:00,false,false,2025-03-04T10:00:00.000000,1741082400000,148.439,
149.086,149.148,148.796,149.046,22690.68,2025-03-04,11:00:00,false,false,2025-03-04T11:00:00.000000,1741086000000,148.439,147.945
149.046,149.046,148.76,148.798,18315.1,2025-03-04,12:00:00,false,false,2025-03-04T12:00:00.000000,1741089600000,148.439,147.568
148.796,148.833,148.288,148.364,19924.05,2025-03-04,13:00:00,false,false,2025-03-04T13:00:00.000000,1741093200000,147.016,147.568
148.365,148.365,148.096,148.23,19891.85,2025-03-04,14:00:00,true,false,2025-03-04T14:00:00.000000,1741096800000,146.619,147.568
148.228,148.561,148.183,148.206,22024.89,2025-03-04,15:00:00,true,false,2025-03-04T15:00:00.000000,1741100400000,147.016,147.568
148.207,148.706,148.199,148.429,36971.41,2025-03-04,16:00:00,false,false,2025-03-04T16:00:00.000000,1741104000000,147.016,147.568
148.429,148.611,148.195,148.35,37890.89,2025-03-04,17:00:00,true,false,2025-03-04T17:00:00.000000,1741107600000,147.016,147.568
148.35,148.86,148.301,148.812,28364.02,2025-03-04,18:00:00,false,false,2025-03-04T18:00:00.000000,1741111200000,147.016,147.568
148.813,148.915,148.688,148.74,20946.18,2025-03-04,19:00:00,false,false,2025-03-04T19:00:00.000000,1741114800000,148.439,147.568
148.742,149.13,148.701,149.092,26461.35,2025-03-04,20:00:00,false,false,2025-03-04T20:00:00.000000,1741118400000,148.439,147.945
149.092,149.368,149.047,149.315,24143.6,2025-03-04,21:00:00,false,false,2025-03-04T21:00:00.000000,1741122000000,148.439,147.945
149.315,149.511,149.008,149.099,21121.91,2025-03-04,22:00:00,false,false,2025-03-04T22:00:00.000000,1741125600000,148.439,
149.099,149.873,149.042,149.807,17737.46,2025-03-04,23:00:00,false,false,2025-03-04T23:00:00.000000,1741129200000,148.439,
149.731,149.787,149.644,149.668,1299.14,2025-03-05,00:00:00,false,false,2025-03-05T00:00:00.000000,1741132800000,148.439,
149.748,149.97,149.642,149.827,7140.79,2025-03-05,01:00:00,false,false,2025-03-05T01:00:00.000000,1741136400000,148.439,
149.824,149.922,149.577,149.915,18257.62,2025-03-05,02:00:00,false,false,2025-03-05T02:00:00.000000,1741140000000,148.439,
149.916,150.182,149.782,149.974,20592.29,2025-03-05,03:00:00,false,true,2025-03-05T03:00:00.000000,1741143600000,148.439,
149.971,150.002,149.745,149.826,15417.44,2025-03-05,04:00:00,false,false,2025-03-05T04:00:00.000000,1741147200000,148.439,
149.825,150.095,149.709,149.971,14911.28,2025-03-05,05:00:00,false,true,2025-03-05T05:00:00.000000,1741150800000,148.439,
149.969,149.971,149.706,149.825,8103.4,2025-03-05,06:00:00,false,true,2025-03-05T06:00:00.000000,1741154400000,148.439,
149.825,149.893,149.695,149.714,8257.53,2025-03-05,07:00:00,false,false,2025-03-05T07:00:00.000000,1741158000000,148.439,
149.712,149.749,149.567,149.684,9828.06,2025-03-05,08:00:00,false,false,2025-03-05T08:00:00.000000,1741161600000,148.439,
149.689,149.815,149.414,149.445,22508.26,2025-03-05,09:00:00,false,false,2025-03-05T09:00:00.000000,1741165200000,148.439,
149.45,149.639,149.199,149.222,26032.94,2025-03-05,10:00:00,false,false,2025-03-05T10:00:00.000000,1741168800000,148.439,
149.22,149.447,149.096,149.372,19182.22,2025-03-05,11:00:00,false,false,2025-03-05T11:00:00.000000,1741172400000,148.439,
149.372,149.566,149.313,149.343,16079.05,2025-03-05,12:00:00,false,false,2025-03-05T12:00:00.000000,1741176000000,148.439,
149.342,149.543,149.289,149.395,16740.32,2025-03-05,13:00:00,false,false,2025-03-05T13:00:00.000000,1741179600000,148.439,
149.4,149.511,149.155,149.51,22069.06,2025-03-05,14:00:00,false,false,2025-03-05T14:00:00.000000,1741183200000,148.439,
149.51,149.737,148.935,149.017,40929.56,2025-03-05,15:00:00,false,false,2025-03-05T15:00:00.000000,1741186800000,148.439,
149.018,149.026,148.392,148.392,35422.21,2025-03-05,16:00:00,true,false,2025-03-05T16:00:00.000000,1741190400000,147.016,147.568
148.392,149.104,148.392,148.913,47384.86,2025-03-05,17:00:00,true,false,2025-03-05T17:00:00.000000,1741194000000,147.016,147.945
148.912,148.98,148.472,148.826,31532.75,2025-03-05,18:00:00,true,false,2025-03-05T18:00:00.000000,1741197600000,147.016,147.568
148.828,148.923,148.633,148.861,26415.44,2025-03-05,19:00:00,true,false,2025-03-05T19:00:00.000000,1741201200000,148.439,147.568
148.862,149.017,148.766,148.953,22760.57,2025-03-05,20:00:00,false,false,2025-03-05T20:00:00.000000,1741204800000,148.439,147.568
148.953,149.139,148.781,148.787,16040.9,2025-03-05,21:00:00,false,false,2025-03-05T21:00:00.000000,1741208400000,148.439,147.945
148.786,148.895,148.735,148.879,12402.93,2025-03-05,22:00:00,false,false,2025-03-05T22:00:00.000000,1741212000000,148.439,147.568
148.877,148.998,148.819,148.874,7342.86,2025-03-05,23:00:00,false,false,2025-03-05T23:00:00.000000,1741215600000,148.439,147.568
148.797,148.886,148.753,148.837,1562.23,2025-03-06,00:00:00,false,false,2025-03-06T00:00:00.000000,1741219200000,148.439,147.568
148.816,148.941,148.723,148.882,4893.93,2025-03-06,01:00:00,false,false,2025-03-06T01:00:00.000000,1741222800000,148.439,147.568
148.88,149.31,148.856,149.15,12403.78,2025-03-06,02:00:00,false,false,2025-03-06T02:00:00.000000,1741226400000,148.439,147.945
149.15,149.331,148.961,148.992,11690.31,2025-03-06,03:00:00,false,true,2025-03-06T03:00:00.000000,1741230000000,148.439,147.945
148.992,149.222,148.946,149.208,10399.18,2025-03-06,04:00:00,false,false,2025-03-06T04:00:00.000000,1741233600000,148.439,147.945
149.259,149.28,149.111,149.233,9527.29,2025-03-06,05:00:00,false,false,2025-03-06T05:00:00.000000,1741237200000,148.439,147.945
149.233,149.306,149.155,149.188,8865.14,2025-03-06,06:00:00,false,true,2025-03-06T06:00:00.000000,1741240800000,148.439,147.945
149.189,149.219,148.929,148.933,12710.35,2025-03-06,07:00:00,false,false,2025-03-06T07:00:00.000000,1741244400000,148.439,147.945
148.93,148.963,148.745,148.78,14187.31,2025-03-06,08:00:00,false,false,2025-03-06T08:00:00.000000,1741248000000,148.439,147.568
